-----------------------------------------------------------------------------------------------------------------------------
INST	ALFA	BETA	NOS	ARE	TARE	TFAI	PAR	SOL_AVA		CON	FAI	COB	T_MEL		T.TOT
-----------------------------------------------------------------------------------------------------------------------------

AC	30	10	91	114	114	232	20	1869547		11	22	167	3.21		10.00
AC	30	10	91	114	114	232	20	2063214		11	22	167	1.48		10.00
AC	30	10	91	114	114	232	20	2055771		11	22	167	0.77		10.00
AC	30	20	91	114	114	232	20	1923920		23	46	186	0.33		10.00
AC	30	20	91	114	114	232	20	2181699		23	46	186	0.20		10.00
AC	30	20	91	114	114	232	20	2188411		23	46	186	0.99		10.00
AC	30	30	91	114	114	232	20	2122007		34	68	190	0.01		10.00
AC	30	30	91	114	114	232	20	2399680		34	68	190	0.01		10.00
AC	30	30	91	114	114	232	20	2404973		34	68	190	0.01		10.00
AC	30	10	91	114	114	232	20	2567214		11	22	167	1.14		20.00
AC	30	10	91	114	114	232	20	2326787		11	22	167	1.23		20.00
AC	30	10	91	114	114	232	20	2276236		11	22	167	1.00		20.00
AC	30	10	91	114	114	232	20	2668176		11	22	167	1.18		20.00
AC	30	10	91	114	114	232	20	2266480		11	22	167	1.41		20.00
AC	30	10	91	114	114	232	20	2805381		11	22	167	1.35		20.00
AC	30	10	91	114	114	232	20	2646344		11	22	167	1.15		20.00
AC	30	10	91	114	114	232	20	2982926		11	22	167	0.94		20.00
AC	30	10	91	114	114	232	20	2088285		11	22	167	1.31		20.00
AC	30	10	91	114	114	232	20	2422358		11	22	167	1.16		20.00
AC	30	10	91	114	114	232	20	2323		5	10	0	0.73		20.00
AC	30	10	91	114	114	232	20	2530		5	10	0	0.92		20.00
AC	30	10	91	114	114	232	20	2322		11	22	162	0.88		20.00
AC	30	10	91	114	114	232	20	2304		11	22	162	0.76		20.01
AC	30	10	91	114	114	232	20	2142		11	22	162	0.69		20.00
AC	30	10	91	114	114	232	20	543		11	22	162	0.63		3.00
AC	30	10	91	114	114	232	20	317		11	22	162	0.36		3.00
AC	30	10	91	114	114	232	20	418		11	22	162	0.43		3.00
AC	30	10	91	114	114	232	20	465		11	22	165	0.13		3.00
AC	30	10	91	114	114	232	20	3500		11	22	159	0.36		20.01
AC	30	10	91	114	114	232	20	2377		11	22	153	0.04		20.00
AC	30	10	91	114	114	232	20	2024		11	22	165	0.23		20.00
AC	30	10	91	114	114	232	20	1947		11	22	159	0.46		20.01
AC	30	10	91	114	114	232	20	2643		11	22	158	0.27		20.00
AC	30	10	91	114	114	232	20	3124		11	22	157	0.63		20.01
AC	30	10	91	114	114	232	20	1007		11	22	165	0.17		5.00
AC	30	10	91	114	114	232	20	676		11	22	149	0.09		5.01
AC	30	10	91	114	114	232	20	982		11	22	164	0.30		5.00
AC	30	10	91	114	114	232	20	1084		10	22	155	0.20		5.00
AC	30	10	91	114	114	232	20	1122		11	22	153	0.12		5.00
AC	30	10	91	114	114	232	20	943		10	22	153	0.23		5.00
AC	30	10	91	114	114	232	20	843		11	22	158	0.15		5.00
AC	30	10	91	114	114	232	20	840		11	22	159	0.23		5.00
AC	30	10	91	114	114	232	20	552		11	22	165	0.61		5.00
AC	30	10	91	114	114	232	20	953		11	22	164	0.50		5.00
AC	30	10	91	114	114	232	20	1092		11	22	162	0.28		5.01
AC	30	10	91	114	114	232	20	698		10	22	129	0.04		5.00
AC	30	10	91	114	114	232	20	876		11	22	158	0.29		5.01
AC	30	10	91	114	114	232	20	1009		11	22	158	0.22		5.00
AC	30	10	91	114	114	232	20	1091		11	22	161	0.29		5.00
AC	30	10	91	114	114	232	20	1130		11	22	159	0.34		5.00
AC	30	10	91	114	114	232	20	888		11	22	165	0.30		5.00
AC	30	10	91	114	114	232	20	937		11	22	164	0.14		5.00
AC	30	10	91	114	114	232	20	850		11	22	149	0.28		5.01
AC	30	10	91	114	114	232	20	1132		11	22	159	0.20		5.01
AC	30	10	91	114	114	232	20	474		11	22	160	0.10		5.00
AC	30	10	91	114	114	232	20	879		11	22	164	0.52		5.00
AC	30	10	91	114	114	232	20	1034		11	22	157	0.32		5.00
AC	30	10	91	114	114	232	20	1182		11	22	164	0.15		5.00
AC	30	10	91	114	114	232	20	1100		11	22	147	0.34		5.00
AC	30	10	91	114	114	232	20	1149		11	22	165	0.29		5.00
AC	30	10	91	114	114	232	20	1114		11	22	161	0.23		5.00
AC	30	10	91	114	114	232	20	1040		11	22	153	0.25		5.00
AC	30	10	91	114	114	232	20	995		11	22	165	0.31		5.00
AC	30	10	91	114	114	232	20	1107		11	22	155	0.28		5.00
