---------------------------------------------------------------
INST	ALFA	BETA	MEL	MED	DES	TEMPO	SOL_AVA
---------------------------------------------------------------
AC	30	10	167	167.00	0.00	1.82	1996177.33
AC	30	20	186	186.00	0.00	0.51	2098010.00
AC	30	30	190	190.00	0.00	0.01	2308886.67
AC	30	10	167	167.00	0.00	1.14	2567214.00
AC	30	10	167	167.00	0.00	1.23	2326787.00
AC	30	10	167	167.00	0.00	1.00	2276236.00
AC	30	10	167	167.00	0.00	1.18	2668176.00
AC	30	10	167	167.00	0.00	1.41	2266480.00
AC	30	10	167	167.00	0.00	1.35	2805381.00
AC	30	10	167	167.00	0.00	1.15	2646344.00
AC	30	10	167	167.00	0.00	0.94	2982926.00
AC	30	10	167	167.00	0.00	1.31	2088285.00
AC	30	10	167	167.00	0.00	1.16	2422358.00
AC	30	10	0	0.00	-nan(ind)	0.73	2323.00
AC	30	10	0	0.00	-nan(ind)	0.92	2530.00
AC	30	10	162	162.00	0.00	0.88	2322.00
AC	30	10	162	162.00	0.00	0.76	2304.00
AC	30	10	162	162.00	0.00	0.69	2142.00
AC	30	10	162	162.00	0.00	0.63	543.00
AC	30	10	165	163.00	1.21	0.31	400.00
AC	30	10	165	158.00	4.24	0.26	959.30
